product,rate,achieved,p50,p90,p99,p999,max,dropped,lag
sequencer,25000,24988,695,753,820,912,3705,0,1
sequencer,50000,49977,803,1356,4207,5943,9039,0,1
sequencer,75000,74965,919,2491,4755,6311,8607,0,1
sequencer,100000,99967,1048,2397,4763,6387,9335,0,1
sequencer,125000,124946,3625,9631,14679,17935,21551,0,1845
sequencer,150000,128181,2621439,3946495,4243455,4272127,4276223,0,2621439
sequencer,175000,127348,5300223,8527871,9199615,9273343,9281535,0,5300223
sequencer,200000,127425,7757823,12713983,13926399,14049279,14065663,0,7757823
sequencer,225000,126223,10870783,17645567,19251199,19382271,19398655,0,10870783
sequencer,250000,129532,12943359,21184511,22921215,23117823,23134207,0,12943359
sequencer,275000,132802,14630911,24330239,26460159,26673151,26689535,0,14630911
sequencer,300000,128136,18055167,30326783,33112063,33406975,33439743,0,18055167
