product,rate,achieved,p50,p90,p99,p999,max,dropped,lag,fleet
braft-multi1,40000,39985,548,607,670,820,1833,1,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
braft-multi1,70000,69973,596,665,752,912,1659,1,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
braft-multi1,100000,99962,641,740,857,1007,2796,1,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
braft-multi1,130000,129952,751,884,1016,1231,2972,1,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
braft-multi1,160000,159940,866,1047,1279,3478,5524,1,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
braft-multi1,200000,199926,1048,1335,2108,3644,5924,1,1,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
braft-multi1,250000,206221,4624384,6758400,7286784,7331840,7335936,1,4624383,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
braft-multi1,300000,205985,9428992,14548992,15695872,15810560,15826944,1,9437183,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
braft-multi1,350000,207524,13910016,21872640,23674880,23855104,23871488,1,13918207,nodes-3x-c7a.4xlarge-multiaz/clients-5x-c7a.2xlarge
