product,rate,achieved,p50,p90,p99,p999,max,dropped,lag
sequencer-fix,10000,9985,1111,1165,1203,2128,41472,0,2
sequencer-fix,25000,24978,744,925,1303,4140,41504,0,1
sequencer-fix,50000,49959,836,1051,1802,55424,83968,0,1
sequencer-fix,75000,74935,910,1166,2514,78784,99520,0,1
sequencer-fix,100000,99909,1007,1369,25232,91840,111872,1062,1
sequencer-fix,150000,149905,1697,4492,67904,94528,106624,382,1
