rate,achieved,e2e_p50,deferred_per_s,gw_queue_max,gw_batch_avg,gw_qdelay_avg,gw_qdelay_p99,node_batch_inputs,node_apply_avg,node_apply_p99,node_apply_max
450000,449498,3204,586878,8801,46.4,1005.8,4568,47,1716,3353,5529
500000,478293,99840,626616,9804,53.4,99723.2,157586,52,2207,3754,5494
550000,478137,112448,632990,10807,56.6,111927.8,175683,56,2262,4535,8666
600000,471153,125056,621764,11815,58.0,123851.8,157629,58,2325,4432,9316
