rate,achieved,e2e_p50,deferred_per_s,gw_queue_max,gw_batch_avg,gw_qdelay_avg,gw_qdelay_p99,node_batch_inputs,node_apply_avg,node_apply_p99,node_apply_max
100000,99960,680,95242,72,1.0,58.2,304,1,461,594,2882
200000,199927,913,229473,240,2.0,160.6,918,2,559,872,3062
300000,299891,1268,375899,489,3.0,260.8,1816,3,750,2079,8773
350000,349876,1568,438749,654,4.6,343.8,2732,4,929,3326,7553
400000,359525,111104,482278,7620,6.0,104829.6,175693,5,2229,8463,13175
