probe,100000,99955,681,797,975,2388,4360,0,1
probe,100000,99960,680,808,1217,3168,6408,0,1
probe,100000,99960,683,827,1745,3376,6624,0,1
probe,150000,149941,790,1019,2952,4876,8904,0,1
probe,200000,199938,901,1475,4192,6152,9696,0,1
probe,250000,249908,1080,2548,4760,6468,10120,0,1
probe,300000,299890,1324,3128,5164,7048,10672,0,1
probe,350000,349874,1750,4050,12912,61568,75008,0,1
probe,375000,341013,107008,112768,122432,134400,140672,778640,1
probe,400000,341254,115264,118848,131072,150912,155392,1374256,1
probe,100000,99960,687,818,1701,3730,6828,0,1
probe,200000,199925,1091,1830,4224,5856,8944,0,1
probe,300000,299896,2070,3976,5960,8376,13520,0,1
probe,350000,333282,88448,104960,115264,123904,130880,373125,1
probe,400000,330068,115072,122112,135424,151040,156672,2288358,1
probe,450000,305376,139904,160256,173824,194048,205696,4887797,1
probe,100000,99960,680,827,1053,3204,8648,0,1
probe,200000,199927,913,1355,3820,5520,8816,0,1
probe,300000,299891,1268,2592,4976,8028,13464,0,1
probe,350000,349876,1568,3314,7632,12232,16376,0,1
probe,400000,359525,111104,117632,134912,185088,191872,934863,1
probe,100000,99961,803,1064,2078,4054,9480,0,1
probe,200000,199925,1022,1441,3508,5664,11600,0,1
probe,300000,299896,1509,2498,4624,6240,10624,0,1
probe,350000,349880,1654,3120,7072,12368,18016,0,1
probe,400000,399861,2268,10760,41440,58688,64512,0,1
probe,450000,449637,3232,32720,70208,86144,90816,0,1
probe,450000,449498,3204,6812,100096,109696,115648,8648,1
probe,500000,478293,99840,115008,134272,166016,172544,581758,1
probe,550000,478137,112448,122048,142336,179968,183168,2296395,1
probe,600000,471153,125056,134912,157056,167552,174336,4250584,1
