rate,achieved,e2e_p50,deferred_per_s,gw_queue_max,gw_batch_avg,gw_qdelay_avg,gw_qdelay_p99,node_batch_inputs,node_apply_avg,node_apply_p99,node_apply_max
100000,99960,687,86,29,1.0,0.5,1,1,514,747,4269
200000,199925,1091,16386,201,1.0,19.0,852,1,871,1883,4786
300000,299896,2070,206684,358,1.0,177.8,1898,1,1374,3134,8713
350000,333282,88448,368672,2949,1.0,30430.4,51162,1,5078,62854,69813
400000,330068,115072,445401,3961,2.0,52916.6,71195,2,61332,68479,71844
450000,305376,139904,395619,4966,2.0,72262.2,104812,2,68668,77844,84371
