rate,achieved,e2e_p50,deferred_per_s,gw_queue_max,gw_batch_avg,gw_qdelay_avg,gw_qdelay_p99,node_batch_inputs,node_apply_avg,node_apply_p99,node_apply_max
100000,99961,803,109914,91,3.0,172.2,536,3,448,577,2816
200000,199925,1022,250581,232,4.4,251.4,927,4,543,841,6333
300000,299896,1509,381897,320,7.0,399.0,2060,6,822,1768,4774
350000,349880,1654,448096,1003,9.4,449.6,3039,9,897,2598,5570
400000,399861,2268,518508,4901,11.8,1889.8,31883,11,1369,4196,7449
450000,449637,3232,575886,7884,14.4,4340.2,47097,14,1795,4376,6344
